Counted to 0 in 1,027 ns: inf ns/iter
Counted to 100 in 693 ns: 6.930000 ns/iter
Counted to 200 in 819 ns: 4.095000 ns/iter
Counted to 300 in 745 ns: 2.483333 ns/iter
Counted to 400 in 880 ns: 2.200000 ns/iter
Counted to 500 in 1,008 ns: 2.016000 ns/iter
Counted to 600 in 1,160 ns: 1.933333 ns/iter
Counted to 700 in 1,073 ns: 1.532857 ns/iter
Counted to 800 in 1,258 ns: 1.572500 ns/iter
Counted to 900 in 1,521 ns: 1.690000 ns/iter
Counted to 1,000 in 1,235 ns: 1.235000 ns/iter
Counted to 1,100 in 1,284 ns: 1.167273 ns/iter
Counted to 1,200 in 1,490 ns: 1.241667 ns/iter
Counted to 1,300 in 1,477 ns: 1.136154 ns/iter
Counted to 1,400 in 1,362 ns: 0.972857 ns/iter
Counted to 1,500 in 1,613 ns: 1.075333 ns/iter
Counted to 1,600 in 5,158 ns: 3.223750 ns/iter
Counted to 1,700 in 2,057 ns: 1.210000 ns/iter
Counted to 1,800 in 1,889 ns: 1.049444 ns/iter
Counted to 1,900 in 2,146 ns: 1.129474 ns/iter
Counted to 2,000 in 3,085 ns: 1.542500 ns/iter
Counted to 2,100 in 3,747 ns: 1.784286 ns/iter
Counted to 2,200 in 1,948 ns: 0.885455 ns/iter
Counted to 2,300 in 5,906 ns: 2.567826 ns/iter
Counted to 2,400 in 2,322 ns: 0.967500 ns/iter
Counted to 2,500 in 2,190 ns: 0.876000 ns/iter
Counted to 2,600 in 2,129 ns: 0.818846 ns/iter
Counted to 2,700 in 2,089 ns: 0.773704 ns/iter
Counted to 2,800 in 7,327 ns: 2.616786 ns/iter
Counted to 2,900 in 3,018 ns: 1.040690 ns/iter
Counted to 3,000 in 7,171 ns: 2.390333 ns/iter
Counted to 3,100 in 2,474 ns: 0.798065 ns/iter
Counted to 3,200 in 2,431 ns: 0.759687 ns/iter
Counted to 3,300 in 2,813 ns: 0.852424 ns/iter
Counted to 3,400 in 2,618 ns: 0.770000 ns/iter
Counted to 3,500 in 2,660 ns: 0.760000 ns/iter
Counted to 3,600 in 2,822 ns: 0.783889 ns/iter
Counted to 3,700 in 2,970 ns: 0.802703 ns/iter
Counted to 3,800 in 2,780 ns: 0.731579 ns/iter
Counted to 3,900 in 3,165 ns: 0.811538 ns/iter
Counted to 4,000 in 2,809 ns: 0.702250 ns/iter
Counted to 4,100 in 3,189 ns: 0.777805 ns/iter
Counted to 4,200 in 3,785 ns: 0.901190 ns/iter
Counted to 4,300 in 3,164 ns: 0.735814 ns/iter
Counted to 4,400 in 3,497 ns: 0.794773 ns/iter
Counted to 4,500 in 3,262 ns: 0.724889 ns/iter
Counted to 4,600 in 3,423 ns: 0.744130 ns/iter
Counted to 4,700 in 3,472 ns: 0.738723 ns/iter
Counted to 4,800 in 3,236 ns: 0.674167 ns/iter
Counted to 4,900 in 3,349 ns: 0.683469 ns/iter
Counted to 5,000 in 3,794 ns: 0.758800 ns/iter
Counted to 5,100 in 3,503 ns: 0.686863 ns/iter
